Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province
6.5,67.6,5,,3,12.0,5.2,yes,yes,Tân Phú, Hồ Chí Minh
14.4,55.0,4,3,4,,7.1,yes,yes,Cầu Giấy, Hà Nội
11.5,57.0,4,,5,6.0,6.0,yes,no,Bắc Từ Liêm, Hà Nội
3.2,38.0,5,5,5,4.0,5.0,yes,yes,Hà Đông, Hà Nội
14.4,55.0,9,4,4,,7.1,yes,yes,Cầu Giấy, Hà Nội
15.5,56.0,2,2,2,4.0,3.6,yes,yes,Long Biên, Hà Nội
3.55,28.0,3,2,2,6.0,,yes,yes,Tân Phú, Hồ Chí Minh
8.0,36.7,4,5,5,5.0,5.8,yes,no,Long Biên, Hà Nội
5.3,144.0,,,2,6.0,6.6,yes,no,Nha Trang, Khánh Hòa
1.85,64.0,3,3,2,5.0,5.0,yes,yes,Quận 12, Hồ Chí Minh
4.3,32.0,3,4,5,2.5,4.0,yes,yes,Hà Đông, Hà Nội
3.85,32.0,3,4,5,2.5,4.0,yes,yes,Hà Đông, Hà Nội
3.48,41.0,4,4,4,2.5,5.0,yes,yes,Hoài Đức, Hà Nội
9.5,90.0,5,6,4,16.0,5.0,yes,yes,Thủ Đức, Hồ Chí Minh
4.5,37.0,3,3,4,3.0,4.0,yes,yes,Hà Đông, Hà Nội
8.5,104.0,12,14,4,,5.0,yes,yes,Quy Nhơn, Bình Định
1.95,15.8,2,1,2,2.0,3.3,yes,yes,Quận 6, Hồ Chí Minh
3.28,37.0,3,4,4,2.5,,yes,yes,Hà Đông, Hà Nội
9.7,106.8,3,3,,30.0,4.91,yes,yes,Quận 9, Hồ Chí Minh
1.15,67.0,2,2,1,10.0,6.0,yes,yes,Bình Chánh, Hồ Chí Minh
5.8,35.0,,,5,2.0,3.5,yes,yes,Hai Bà Trưng, Hà Nội
16.8,80.0,12,12,8,,,yes,yes,Tây Hồ, Hà Nội
6.65,34.0,3,4,5,,4.45,yes,no,Đống Đa, Hà Nội
3.4,56.0,2,2,2,4.0,4.0,yes,no,Quận 12, Hồ Chí Minh
8.99,48.0,4,3,3,,,yes,yes,Tây Hồ, Hà Nội
18.5,150.0,4,4,3,7.0,6.0,yes,no,Thủ Đức, Hồ Chí Minh
7.2,40.0,4,3,4,4.0,2.0,yes,yes,Quận 10, Hồ Chí Minh
16.85,338.0,26,25,3,7.0,6.0,yes,no,Thủ Đức, Hồ Chí Minh
32.3,130.0,14,8,7,7.0,4.2,yes,yes,Quận 10, Hồ Chí Minh
11.4,80.0,4,4,3,10.0,4.0,yes,no,Thủ Đức, Hồ Chí Minh
8.5,56.0,4,6,6,8.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
5.95,58.8,4,3,4,,,yes,yes,Nhà Bè, Hồ Chí Minh
12.48,55.0,5,4,5,4.0,,no,no,Hà Đông, Hà Nội
16.0,98.0,10,11,7,5.0,5.5,yes,yes,Long Biên, Hà Nội
7.89,99.0,4,5,3,8.0,9.0,yes,yes,Nhà Bè, Hồ Chí Minh
7.38,40.0,3,3,4,,,yes,no,Bình Thạnh, Hồ Chí Minh
17.49,80.0,5,6,5,16.0,,yes,yes,Quận 7, Hồ Chí Minh
11.3,55.0,4,6,6,3.0,4.5,yes,yes,Long Biên, Hà Nội
8.89,72.2,4,5,4,6.0,,yes,yes,Nhà Bè, Hồ Chí Minh
5.4,35.0,4,,4,2.0,3.0,yes,yes,Bắc Từ Liêm, Hà Nội
4.65,30.0,4,4,5,,,yes,yes,Nam Từ Liêm, Hà Nội
14.5,90.0,4,4,3,12.0,,yes,yes,Quận 7, Hồ Chí Minh
11.4,80.0,4,4,3,10.0,4.0,yes,no,Thủ Đức, Hồ Chí Minh
5.19,52.5,4,5,3,6.0,,yes,no,Nhà Bè, Hồ Chí Minh
6.2,54.0,5,4,4,6.0,4.2,yes,yes,Hải Châu, Đà Nẵng
12.5,59.0,6,4,6,2.5,4.0,yes,yes,Long Biên, Hà Nội
4.5,63.0,4,3,4,4.0,4.0,yes,no,Lê Chân, Hải Phòng
2.78,50.0,2,2,2,6.0,4.0,yes,no,Dĩ An, Bình Dương
21.0,60.0,4,5,4,8.0,8.0,yes,yes,Quận 10, Hồ Chí Minh
2.38,82.3,3,3,,3.5,6.0,yes,no,Nha Trang, Khánh Hòa
7.5,50.0,4,3,4,4.0,7.1,yes,yes,Hai Bà Trưng, Hà Nội
6.1,38.0,5,5,5,,5.0,yes,yes,Bắc Từ Liêm, Hà Nội
4.25,58.0,3,4,3,13.0,4.0,yes,yes,Nha Trang, Khánh Hòa
17.7,74.0,12,13,6,,,yes,yes,Quận 10, Hồ Chí Minh
6.2,31.0,3,3,3,8.0,4.0,yes,yes,Quận 10, Hồ Chí Minh
15.5,150.0,5,,2,20.0,7.0,no,no,Quận 9, Hồ Chí Minh
8.35,40.0,4,3,3,5.0,5.0,yes,yes,Quận 10, Hồ Chí Minh
7.2,44.0,3,3,3,5.0,5.0,yes,no,Quận 10, Hồ Chí Minh
8.45,68.0,4,4,5,6.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.7,72.0,3,2,2,4.0,4.0,yes,yes,Tân Bình, Hồ Chí Minh
8.6,52.0,4,,5,5.0,4.0,yes,yes,Bắc Từ Liêm, Hà Nội
31.5,90.0,3,4,5,4.0,5.8,yes,yes,Ba Đình, Hà Nội
13.6,48.0,3,5,6,4.0,5.0,yes,no,Hoàng Mai, Hà Nội
14.3,48.0,6,6,5,6.0,10.0,yes,yes,Long Biên, Hà Nội
8.2,84.0,4,5,3,7.0,7.0,yes,yes,Quận 12, Hồ Chí Minh
1.95,39.0,3,3,2,,,yes,yes,Phú Nhuận, Hồ Chí Minh
2.65,95.0,4,3,3,,,yes,yes,Thủ Dầu Một, Bình Dương
40.0,95.0,6,10,5,10.0,8.5,yes,yes,Cầu Giấy, Hà Nội
3.95,28.3,2,2,2,3.0,5.0,yes,yes,Tân Bình, Hồ Chí Minh
3.99,86.0,2,2,1,8.0,4.0,yes,no,Biên Hòa, Đồng Nai
2.55,180.0,3,2,2,,,yes,no,Thủ Dầu Một, Bình Dương
7.65,52.0,4,5,4,,,yes,no,Tân Phú, Hồ Chí Minh
3.9,37.8,4,4,4,,5.5,yes,yes,Quận 3, Hồ Chí Minh
10.45,39.5,3,4,5,7.0,3.68,yes,yes,Long Biên, Hà Nội
3.45,37.2,,,3,5.0,4.0,yes,no,Lê Chân, Hải Phòng
6.66,41.5,6,3,4,4.0,4.1,yes,yes,Long Biên, Hà Nội
13.0,100.0,4,2,3,5.0,5.2,yes,yes,Long Biên, Hà Nội
19.2,75.6,5,4,5,6.0,4.5,yes,yes,Long Biên, Hà Nội
5.04,360.0,2,1,,7.0,15.0,yes,no,Hạ Long, Quảng Ninh
11.9,35.0,3,3,6,3.5,3.5,yes,no,Long Biên, Hà Nội
19.0,135.0,28,28,6,,13.0,yes,yes,Nam Từ Liêm, Hà Nội
13.2,90.0,4,5,4,20.0,,yes,no,Quận 7, Hồ Chí Minh
7.5,60.0,4,3,4,,4.0,yes,yes,Lê Chân, Hải Phòng
26.8,64.0,3,4,5,5.0,5.0,yes,no,Cầu Giấy, Hà Nội
5.75,54.56,4,3,5,,4.85,yes,no,Ngô Quyền, Hải Phòng
18.5,120.0,5,5,4,6.0,,yes,yes,Thủ Đức, Hồ Chí Minh
4.8,68.0,3,1,,,4.0,yes,no,Thủ Đức, Hồ Chí Minh
5.5,82.0,3,3,2,,5.0,yes,no,Thủ Đức, Hồ Chí Minh
7.9,160.0,,,1,5.0,8.0,yes,no,Quận 7, Hồ Chí Minh
9.5,45.0,3,2,3,,,yes,no,Bắc Từ Liêm, Hà Nội
12.0,70.0,15,,4,5.0,5.0,yes,no,Gia Lâm, Hà Nội
5.75,34.0,3,3,4,,6.0,yes,yes,Hai Bà Trưng, Hà Nội
5.18,40.0,4,3,4,,,yes,no,Bình Tân, Hồ Chí Minh
9.3,90.0,4,3,3,,6.0,yes,yes,Tân Phú, Hồ Chí Minh
11.8,40.0,4,4,5,6.0,3.8,yes,yes,Long Biên, Hà Nội
5.4,40.0,4,3,4,,,yes,yes,Quận 11, Hồ Chí Minh
26.6,102.0,5,6,7,5.0,5.0,yes,yes,Long Biên, Hà Nội
9.65,40.0,5,3,5,8.0,3.4,yes,yes,Hoài Đức, Hà Nội
1.2,130.0,6,6,3,20.0,,yes,no,Đồng Xoài, Bình Phước
17.5,87.0,,,2,4.0,3.6,yes,yes,Đống Đa, Hà Nội
9.0,42.0,4,4,4,4.0,4.0,yes,yes,Đống Đa, Hà Nội
6.5,45.0,2,2,2,6.0,3.4,yes,no,Quận 6, Hồ Chí Minh
16.9,47.0,3,4,6,8.0,4.5,yes,yes,Thanh Xuân, Hà Nội
4.95,68.0,2,,1,8.0,5.5,yes,no,Quận 12, Hồ Chí Minh
8.5,42.0,3,3,3,5.0,5.0,yes,yes,Quận 10, Hồ Chí Minh
9.7,33.0,5,5,6,2.0,4.0,yes,yes,Hai Bà Trưng, Hà Nội
7.8,70.4,2,2,2,4.0,4.4,yes,yes,Tân Phú, Hồ Chí Minh
13.5,54.0,5,4,5,,8.4,yes,yes,Hà Đông, Hà Nội
11.9,35.0,3,3,6,3.5,3.5,yes,no,Long Biên, Hà Nội
12.9,100.0,,,5,6.0,5.0,yes,no,Tân Bình, Hồ Chí Minh
4.1,68.0,3,3,3,8.0,5.0,yes,yes,Bình Tân, Hồ Chí Minh
25.2,168.0,3,,4,4.5,7.8,yes,yes,Hoàng Mai, Hà Nội
9.3,60.15,4,3,4,3.0,2.9,yes,yes,Long Biên, Hà Nội
7.8,35.0,3,4,5,5.0,4.3,yes,yes,Hoàng Mai, Hà Nội
6.6,42.0,3,4,5,,5.0,yes,no,Bắc Từ Liêm, Hà Nội
19.0,108.3,2,3,,,,yes,yes,Thanh Khê, Đà Nẵng
2.55,80.0,4,4,3,10.0,,yes,yes,Bình Chánh, Hồ Chí Minh
7.4,46.0,4,4,4,4.0,4.2,yes,yes,Cầu Giấy, Hà Nội
7.8,52.0,5,5,4,,,yes,no,Tân Phú, Hồ Chí Minh
8.7,42.0,3,4,6,4.0,4.0,yes,yes,Long Biên, Hà Nội
7.3,40.0,3,5,6,3.0,5.0,yes,yes,Long Biên, Hà Nội
4.3,31.0,2,2,3,,,yes,no,Tân Bình, Hồ Chí Minh
15.98,68.0,6,6,7,7.0,5.0,yes,yes,Tây Hồ, Hà Nội
16.8,79.0,5,5,6,4.0,5.0,yes,yes,Long Biên, Hà Nội
28.0,100.0,4,4,4,11.0,15.0,yes,yes,Long Biên, Hà Nội
19.9,70.0,4,3,7,5.0,5.0,yes,yes,Long Biên, Hà Nội
15.0,66.0,6,7,4,6.0,6.0,yes,yes,Quận 10, Hồ Chí Minh
9.3,45.0,3,4,6,3.0,3.6,yes,yes,Long Biên, Hà Nội
11.0,50.0,3,3,3,8.0,4.3,yes,no,Hà Đông, Hà Nội
14.0,35.0,4,3,4,6.0,3.5,yes,yes,Hà Đông, Hà Nội
4.8,68.0,3,2,2,6.0,4.08,yes,yes,Tân Phú, Hồ Chí Minh
2.55,106.6,3,2,2,,5.0,yes,no,Thuận An, Bình Dương
10.0,111.0,9,10,2,2.5,2.5,yes,yes,Quận 10, Hồ Chí Minh
21.5,65.0,4,,6,6.0,,yes,no,Tây Hồ, Hà Nội
52.9,96.0,28,28,10,6.0,6.9,yes,yes,Cầu Giấy, Hà Nội
9.6,48.0,7,,5,,4.8,yes,yes,Cầu Giấy, Hà Nội
8.0,90.0,3,3,2,5.0,5.1,yes,no,Gò Vấp, Hồ Chí Minh
15.0,60.0,11,22,5,,,yes,yes,Hai Bà Trưng, Hà Nội
11.0,76.0,1,1,1,,,yes,yes,Bình Thạnh, Hồ Chí Minh
6.3,60.2,3,3,2,5.0,4.3,yes,yes,Thủ Đức, Hồ Chí Minh
5.4,29.0,3,4,5,,,yes,yes,Hai Bà Trưng, Hà Nội
17.5,47.0,10,10,7,3.0,6.0,yes,yes,Ba Đình, Hà Nội
6.72,60.0,4,4,4,7.0,4.0,yes,yes,Thủ Đức, Hồ Chí Minh
22.0,70.0,6,7,7,10.0,5.5,yes,yes,Cầu Giấy, Hà Nội
5.95,48.0,3,4,3,,,yes,no,Tân Phú, Hồ Chí Minh
4.8,52.0,3,,2,6.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
14.0,100.0,4,4,4,,,yes,yes,Đông Anh, Hà Nội
5.5,30.0,3,3,5,3.0,6.0,yes,yes,Quận 10, Hồ Chí Minh
22.0,54.0,6,6,5,3.5,3.6,yes,no,Quận 1, Hồ Chí Minh
16.5,61.6,,,4,6.0,5.5,yes,no,Quận 1, Hồ Chí Minh
12.68,45.0,3,4,6,,3.5,yes,yes,Thanh Trì, Hà Nội
2.2,23.0,2,2,2,,,yes,yes,Gò Vấp, Hồ Chí Minh
8.3,65.0,4,4,4,,4.0,yes,yes,Tân Bình, Hồ Chí Minh
10.0,152.0,4,3,3,5.5,5.0,yes,yes,Hải Châu, Đà Nẵng
5.9,57.9,4,3,3,6.0,4.0,yes,no,Thủ Đức, Hồ Chí Minh
11.3,80.0,3,2,2,6.0,7.0,yes,no,Bình Thạnh, Hồ Chí Minh
17.8,70.0,4,8,6,5.0,5.3,yes,no,Hoàng Mai, Hà Nội
15.8,105.0,7,7,4,5.8,5.8,yes,yes,Tân Bình, Hồ Chí Minh
6.99,58.0,5,6,4,4.0,3.8,yes,no,Quận 8, Hồ Chí Minh
1.65,81.0,2,1,1,5.0,,yes,yes,Vĩnh Cửu, Đồng Nai
7.1,42.0,4,3,4,8.0,10.0,yes,no,Quận 8, Hồ Chí Minh
23.5,120.0,7,,4,8.0,6.0,yes,no,Tân Bình, Hồ Chí Minh
4.1,60.0,2,2,2,4.0,4.0,yes,yes,Quận 8, Hồ Chí Minh
6.5,50.0,3,2,3,8.0,4.0,yes,no,Gò Vấp, Hồ Chí Minh
21.0,70.6,6,6,5,8.0,3.33,yes,yes,Quận 1, Hồ Chí Minh
11.9,60.0,4,3,4,3.0,5.0,yes,yes,Tây Hồ, Hà Nội
6.98,35.0,3,4,5,3.0,3.5,yes,yes,Tây Hồ, Hà Nội
4.95,38.0,2,2,2,6.0,4.4,yes,yes,Tân Phú, Hồ Chí Minh
29.5,110.0,13,14,6,,6.0,yes,yes,Đống Đa, Hà Nội
3.2,137.5,2,2,2,3.0,5.0,yes,yes,Nha Trang, Khánh Hòa
18.0,80.3,7,7,4,15.0,4.0,no,no,Bình Thạnh, Hồ Chí Minh
2.5,68.0,3,2,2,8.0,5.0,yes,yes,Biên Hòa, Đồng Nai
7.5,30.0,3,3,5,,3.65,yes,yes,Hà Đông, Hà Nội
5.9,33.0,3,3,5,2.5,4.0,yes,yes,Tây Hồ, Hà Nội
5.29,45.0,2,2,2,4.0,5.0,yes,yes,Tân Bình, Hồ Chí Minh
25.0,140.0,33,33,6,20.0,7.1,yes,yes,Tân Bình, Hồ Chí Minh
8.5,64.0,,,2,8.0,4.0,yes,no,Quận 7, Hồ Chí Minh
19.2,97.8,5,5,4,,,yes,yes,Phú Nhuận, Hồ Chí Minh
6.85,51.0,7,7,5,4.0,4.6,yes,no,Quận 6, Hồ Chí Minh
10.5,95.0,3,3,1,7.0,4.0,yes,no,Bình Thạnh, Hồ Chí Minh
8.5,52.0,6,5,5,2.5,4.0,yes,yes,Ba Đình, Hà Nội
62.95,200.0,28,28,9,,10.0,yes,yes,Cầu Giấy, Hà Nội
8.45,49.0,7,8,5,,,yes,yes,Phú Nhuận, Hồ Chí Minh
8.3,50.0,3,2,3,4.0,4.0,yes,yes,Quận 10, Hồ Chí Minh
5.65,57.4,3,3,,6.0,4.5,yes,no,Thủ Đức, Hồ Chí Minh
11.8,242.4,2,2,2,6.0,6.0,yes,yes,Thủ Đức, Hồ Chí Minh
9.9,83.0,9,10,3,,,yes,yes,Phú Nhuận, Hồ Chí Minh
35.5,140.2,5,5,5,9.0,7.0,yes,no,Bình Thạnh, Hồ Chí Minh
7.76,80.0,1,1,1,12.0,5.0,yes,no,Đông Anh, Hà Nội
6.3,38.0,8,5,5,3.0,3.8,yes,yes,Tây Hồ, Hà Nội
36.8,138.0,30,30,8,3.5,10.0,yes,yes,Đống Đa, Hà Nội
1.85,120.0,2,3,2,7.0,,yes,yes,Thủ Dầu Một, Bình Dương
15.0,71.0,6,,5,6.0,,yes,no,Ba Đình, Hà Nội
1.52,104.0,2,1,1,12.0,6.0,yes,yes,Vũng Tàu, Bà Rịa Vũng Tàu
14.8,46.0,,,5,5.0,4.2,no,yes,Đống Đa, Hà Nội
8.7,34.0,3,,6,5.0,3.2,yes,no,Nam Từ Liêm, Hà Nội
3.28,40.0,3,3,2,5.0,4.0,yes,yes,Tân Phú, Hồ Chí Minh
2.55,139.0,3,2,2,3.0,5.2,yes,no,Ngũ Hành Sơn, Đà Nẵng
11.5,86.5,6,7,4,4.0,6.6,yes,yes,Quận 10, Hồ Chí Minh
8.4,49.5,4,3,3,7.0,4.0,yes,no,Bình Thạnh, Hồ Chí Minh
27.5,100.0,4,4,4,,5.0,yes,yes,Thanh Xuân, Hà Nội
6.2,38.0,5,,5,,4.3,yes,no,Long Biên, Hà Nội
2.85,97.0,2,2,1,4.0,5.0,yes,yes,Thuận An, Bình Dương
34.5,98.0,6,7,8,,6.0,yes,yes,Cầu Giấy, Hà Nội
3.05,35.0,3,4,4,,,yes,no,Hà Đông, Hà Nội
50.0,2.002,8,9,2,,8.0,yes,yes,Quận 9, Hồ Chí Minh
7.2,50.0,3,4,4,6.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
3.9,54.0,3,3,2,6.0,6.0,yes,yes,Thủ Đức, Hồ Chí Minh
12.0,50.0,3,,6,,4.5,yes,no,Long Biên, Hà Nội
7.0,97.0,3,4,3,,5.0,no,no,Nha Trang, Khánh Hòa
36.8,138.0,30,30,8,,10.0,yes,yes,Đống Đa, Hà Nội
12.5,50.0,10,10,,,,yes,yes,Hoàng Mai, Hà Nội
15.0,62.0,8,8,6,,,yes,yes,Cầu Giấy, Hà Nội
15.56,55.0,6,7,2,3.0,5.0,yes,no,Quận 3, Hồ Chí Minh
2.5,85.0,2,1,1,3.0,8.0,yes,no,Dĩ An, Bình Dương
13.2,50.0,7,4,5,,5.0,yes,no,Cầu Giấy, Hà Nội
6.9,396.4,2,2,2,8.0,12.0,yes,no,Long Thành, Đồng Nai
57.0,705.0,6,6,2,18.0,18.0,yes,yes,Thủ Đức, Hồ Chí Minh
8.9,140.0,3,,3,14.0,7.0,no,no,Thủ Đức, Hồ Chí Minh
5.6,150.0,6,6,2,,,yes,no,Nhà Bè, Hồ Chí Minh
6.29,64.0,4,5,4,12.0,4.0,yes,yes,Quận 12, Hồ Chí Minh
12.0,45.0,3,4,5,4.0,5.0,yes,no,Cầu Giấy, Hà Nội
10.2,114.0,,,1,4.0,3.8,yes,no,Tân Bình, Hồ Chí Minh
4.28,60.0,2,3,2,6.0,5.0,yes,yes,Quận 12, Hồ Chí Minh
5.4,77.0,2,1,1,3.0,3.0,yes,yes,Thủ Đức, Hồ Chí Minh
6.0,40.3,4,5,4,8.0,6.0,yes,yes,Gia Lâm, Hà Nội
10.68,66.0,3,,,,5.4,yes,yes,Hoàng Mai, Hà Nội
6.39,80.8,4,2,2,25.0,6.6,yes,yes,Bắc Từ Liêm, Hà Nội
6.15,45.0,5,4,5,2.5,6.8,yes,yes,Bắc Từ Liêm, Hà Nội
5.68,56.0,4,3,3,6.0,4.0,yes,yes,Bình Tân, Hồ Chí Minh
6.8,50.0,4,3,4,,5.0,no,yes,Bắc Từ Liêm, Hà Nội
3.6,32.0,3,2,1,3.0,4.0,yes,no,Tân Bình, Hồ Chí Minh
4.05,40.0,5,3,4,2.5,,yes,yes,Hoài Đức, Hà Nội
8.5,34.0,3,3,6,3.0,5.0,yes,yes,Cầu Giấy, Hà Nội
17.4,56.0,7,7,5,6.0,4.2,yes,yes,Quận 10, Hồ Chí Minh
6.6,54.0,4,3,4,3.0,4.0,yes,yes,Hà Đông, Hà Nội
4.75,32.0,3,4,5,,,yes,no,Hà Đông, Hà Nội
1.95,53.0,3,3,2,5.0,4.2,yes,yes,Quận 12, Hồ Chí Minh
15.0,50.0,6,5,5,15.0,4.3,yes,no,Tây Hồ, Hà Nội
9.2,43.0,9,9,5,3.0,4.0,yes,yes,Nam Từ Liêm, Hà Nội
11.5,40.0,4,4,6,,,yes,yes,Tây Hồ, Hà Nội
4.39,32.0,3,4,5,2.0,3.7,yes,yes,Hà Đông, Hà Nội
27.0,82.0,,,9,,6.8,yes,yes,Cầu Giấy, Hà Nội
13.7,95.0,14,14,5,8.0,4.5,yes,yes,Tân Bình, Hồ Chí Minh
4.4,112.0,1,1,1,6.0,4.5,yes,yes,Dĩ An, Bình Dương
7.2,45.0,4,3,4,2.5,5.0,yes,yes,Ba Đình, Hà Nội
29.4,90.0,8,10,6,4.0,4.5,yes,yes,Cầu Giấy, Hà Nội
3.35,42.0,,,4,2.5,4.5,yes,yes,Quốc Oai, Hà Nội
3.65,32.0,2,2,2,4.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
30.0,51.0,3,4,4,5.0,4.4,yes,yes,Đống Đa, Hà Nội
15.86,46.0,4,4,5,18.0,4.0,yes,yes,Thanh Xuân, Hà Nội
16.0,70.0,7,6,6,3.0,4.0,yes,yes,Tây Hồ, Hà Nội
6.6,50.0,4,4,4,4.0,4.0,yes,yes,Hà Đông, Hà Nội
8.8,42.0,6,5,5,4.0,4.5,yes,yes,Thanh Trì, Hà Nội
3.5,20.3,2,1,2,,4.0,yes,yes,Phú Nhuận, Hồ Chí Minh
12.0,55.0,4,3,4,15.0,4.0,yes,yes,Hà Đông, Hà Nội
12.0,70.0,4,5,4,,,no,yes,Quận 3, Hồ Chí Minh
12.6,110.0,17,17,4,8.0,4.3,yes,yes,Gò Vấp, Hồ Chí Minh
29.45,92.0,8,,6,4.0,4.5,yes,yes,Cầu Giấy, Hà Nội
8.4,35.0,3,5,6,2.5,3.5,yes,yes,Ba Đình, Hà Nội
3.5,76.0,2,2,1,6.0,6.0,yes,no,Thuận An, Bình Dương
9.5,51.0,3,2,3,3.0,3.3,yes,yes,Hà Đông, Hà Nội
12.8,55.0,6,5,5,6.0,4.2,yes,yes,Ba Đình, Hà Nội
8.45,38.0,3,,6,,,yes,yes,Hai Bà Trưng, Hà Nội
3.26,78.8,5,6,4,,4.5,yes,yes,Phú Nhuận, Hồ Chí Minh
7.1,35.0,4,4,5,5.0,4.0,yes,yes,Tây Hồ, Hà Nội
14.5,51.0,3,3,4,,3.0,yes,no,Hai Bà Trưng, Hà Nội
23.5,50.0,5,6,7,5.0,8.0,yes,yes,Đống Đa, Hà Nội
6.0,137.0,2,2,,4.0,4.0,yes,yes,Hóc Môn, Hồ Chí Minh
6.5,40.0,4,4,4,3.0,6.0,yes,yes,Hà Đông, Hà Nội
6.7,36.0,4,,5,,4.0,yes,yes,Thanh Xuân, Hà Nội
6.25,45.3,3,4,4,6.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
21.0,110.0,4,5,5,5.0,7.0,yes,no,Long Biên, Hà Nội
31.0,210.0,27,28,4,10.0,6.0,yes,yes,Tân Phú, Hồ Chí Minh
3.75,40.0,2,2,2,3.0,4.0,yes,no,Gia Lâm, Hà Nội
13.0,78.0,1,1,1,6.0,4.5,yes,yes,Gia Lâm, Hà Nội
8.8,75.0,4,3,4,2.5,5.2,yes,yes,Ba Đình, Hà Nội
25.0,200.0,28,28,,5.0,,yes,yes,Hải Châu, Đà Nẵng
4.3,60.0,3,3,2,,,yes,no,Dĩ An, Bình Dương
10.0,40.0,6,4,5,2.5,4.0,yes,yes,Tây Hồ, Hà Nội
13.8,80.0,4,3,4,8.0,4.3,yes,yes,Thanh Trì, Hà Nội
9.35,40.0,3,5,6,,4.6,yes,yes,Cầu Giấy, Hà Nội
18.5,45.0,6,4,5,5.0,3.8,yes,yes,Cầu Giấy, Hà Nội
28.0,75.0,8,6,8,4.6,4.8,yes,no,Quận 1, Hồ Chí Minh
3.5,70.0,5,3,2,10.0,6.0,yes,yes,Biên Hòa, Đồng Nai
4.42,48.0,2,2,2,4.0,3.7,yes,yes,Gò Vấp, Hồ Chí Minh
13.0,59.48,3,3,2,8.0,,yes,no,Quận 3, Hồ Chí Minh
6.3,40.0,3,4,5,,4.0,yes,yes,Hoàng Mai, Hà Nội
12.5,66.0,2,3,2,,,yes,yes,Quận 10, Hồ Chí Minh
5.13,34.2,5,,5,,,yes,yes,Hoàng Mai, Hà Nội
13.0,60.0,4,4,5,2.5,6.0,yes,no,Đống Đa, Hà Nội
15.0,64.0,8,6,5,8.0,4.0,yes,yes,Quận 10, Hồ Chí Minh
45.0,158.0,20,22,,,,yes,yes,Tây Hồ, Hà Nội
4.99,44.0,2,2,2,4.0,4.3,yes,yes,Gò Vấp, Hồ Chí Minh
7.0,153.0,6,6,2,5.0,5.5,yes,yes,Quận 9, Hồ Chí Minh
3.3,42.0,3,2,2,3.0,6.0,yes,yes,Quận 8, Hồ Chí Minh
4.35,61.0,4,3,4,3.0,5.0,yes,yes,Hải An, Hải Phòng
13.6,62.0,14,14,8,3.0,6.9,yes,yes,Nam Từ Liêm, Hà Nội
17.3,60.0,20,20,6,4.0,5.6,yes,yes,Cầu Giấy, Hà Nội
12.5,53.0,3,2,3,3.5,,yes,no,Thanh Xuân, Hà Nội
8.18,50.6,3,3,4,,,yes,yes,Đống Đa, Hà Nội
10.0,87.5,5,,4,7.0,5.0,yes,yes,Sơn Trà, Đà Nẵng
11.2,54.0,2,2,2,3.0,4.0,yes,no,Đống Đa, Hà Nội
5.05,32.0,3,4,5,2.0,3.83,yes,yes,Hoài Đức, Hà Nội
13.8,51.0,,,5,,5.1,yes,yes,Nam Từ Liêm, Hà Nội
21.0,65.0,7,5,5,10.0,,yes,no,Thanh Xuân, Hà Nội
9.0,84.0,1,1,,10.0,4.0,yes,no,Gò Vấp, Hồ Chí Minh
23.8,65.0,,,5,,5.5,yes,yes,Cầu Giấy, Hà Nội
15.98,70.0,6,7,8,10.0,5.0,yes,yes,Tây Hồ, Hà Nội
61.0,120.0,18,18,8,4.0,9.0,yes,yes,Tây Hồ, Hà Nội
5.75,35.0,3,4,5,,,yes,yes,Hoàng Mai, Hà Nội
14.0,50.0,,6,6,4.0,3.8,yes,yes,Đống Đa, Hà Nội
26.0,146.0,20,20,5,,6.0,yes,yes,Quận 10, Hồ Chí Minh
21.0,45.0,6,7,8,3.0,5.0,yes,yes,Tây Hồ, Hà Nội
32.0,80.0,6,7,6,6.0,4.0,yes,yes,Quận 1, Hồ Chí Minh
19.0,117.8,4,4,1,8.0,8.8,yes,yes,Phú Nhuận, Hồ Chí Minh
4.3,159.0,3,2,,4.0,7.23,yes,yes,Nha Trang, Khánh Hòa
9.9,100.0,4,6,4,7.5,5.0,yes,yes,Thanh Khê, Đà Nẵng
24.0,54.0,5,4,4,,6.4,yes,yes,Đống Đa, Hà Nội
4.6,30.0,4,4,3,3.0,,yes,yes,Quận 1, Hồ Chí Minh
33.3,100.0,4,5,3,10.0,5.0,yes,yes,Quận 1, Hồ Chí Minh
7.47,66.6,4,3,3,3.5,4.0,yes,yes,Quận 7, Hồ Chí Minh
86.0,265.0,30,30,10,6.0,15.0,yes,no,Tây Hồ, Hà Nội
24.0,100.0,20,25,8,2.5,7.0,yes,yes,Tây Hồ, Hà Nội
11.6,52.0,6,4,5,2.5,4.1,yes,yes,Đống Đa, Hà Nội
4.7,81.2,3,2,2,8.0,5.0,yes,yes,Biên Hòa, Đồng Nai
7.4,61.2,4,2,2,12.0,3.2,yes,no,Tân Phú, Hồ Chí Minh
